onset	duration	trial_type	identifier	correct_response
26.02	26	social	["fischer_videos/social.barriers.c.4.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	false & true
52.07	26	physics	["fischer_videos/physics.nobarriers.c.7.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	false & true
78.12	26	social	["fischer_videos/social.nobarriers.i.8.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	true & true
104.16	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
130.21	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.nobarriers.i.2.mp4"]	true & true
156.25	26	physics	["fischer_videos/physics.barriers.c.4.mp4"] & ["fischer_videos/physics.barriers.i.3.mp4"]	true & false
182.29	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.i.6.mp4"]	true & false
208.34	26	physics	["fischer_videos/physics.nobarriers.i.8.mp4"] & ["fischer_videos/physics.barriers.i.1.mp4"]	false & false
260.39	26	physics	["fischer_videos/physics.nobarriers.c.5.mp4"] & ["fischer_videos/physics.nobarriers.i.6.mp4"]	true & true
286.44	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.nobarriers.c.7.mp4"]	true & true
312.48	26	physics	["fischer_videos/physics.barriers.i.9.mp4"] & ["fischer_videos/physics.barriers.i.7.mp4"]	true & false
338.52	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	true & true
364.56	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	true & true
390.61	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	true & true
416.66	26	physics	["fischer_videos/physics.barriers.c.6.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	true & true
442.7	26	social	["fischer_videos/social.nobarriers.i.10.mp4"] & ["fischer_videos/social.barriers.i.7.mp4"]	false & false
