onset	duration	trial_type	identifier	correct_response
26.03	26	social	["fischer_videos/social.barriers.c.10.mp4"] & ["fischer_videos/social.nobarriers.i.8.mp4"]	true & false
52.06	26	physics	["fischer_videos/physics.nobarriers.i.10.mp4"] & ["fischer_videos/physics.nobarriers.c.9.mp4"]	false & false
78.09	26	social	["fischer_videos/social.barriers.i.1.mp4"] & ["fischer_videos/social.barriers.c.2.mp4"]	true & true
104.12	26	social	["fischer_videos/social.barriers.c.6.mp4"] & ["fischer_videos/social.nobarriers.c.1.mp4"]	true & true
130.17	26	physics	["fischer_videos/physics.barriers.i.7.mp4"] & ["fischer_videos/physics.nobarriers.i.8.mp4"]	true & true
156.2	26	physics	["fischer_videos/physics.nobarriers.c.1.mp4"] & ["fischer_videos/physics.nobarriers.c.7.mp4"]	true & false
182.23	26	social	["fischer_videos/social.nobarriers.c.5.mp4"] & ["fischer_videos/social.barriers.c.4.mp4"]	true & false
208.27	26	physics	["fischer_videos/physics.barriers.c.6.mp4"] & ["fischer_videos/physics.barriers.c.2.mp4"]	true & false
260.32	26	physics	["fischer_videos/physics.nobarriers.i.2.mp4"] & ["fischer_videos/physics.barriers.c.4.mp4"]	true & true
286.35	26	social	["fischer_videos/social.nobarriers.i.2.mp4"] & ["fischer_videos/social.barriers.i.3.mp4"]	false & true
312.38	26	physics	["fischer_videos/physics.nobarriers.i.6.mp4"] & ["fischer_videos/physics.barriers.c.10.mp4"]	true & false
338.42	26	physics	["fischer_videos/physics.barriers.i.1.mp4"] & ["fischer_videos/physics.barriers.i.9.mp4"]	false & true
364.46	26	social	["fischer_videos/social.nobarriers.c.7.mp4"] & ["fischer_videos/social.nobarriers.i.10.mp4"]	true & true
390.49	26	social	["fischer_videos/social.nobarriers.i.6.mp4"] & ["fischer_videos/social.nobarriers.c.9.mp4"]	true & false
416.53	26	physics	["fischer_videos/physics.barriers.i.3.mp4"] & ["fischer_videos/physics.nobarriers.c.5.mp4"]	false & false
442.57	26	social	["fischer_videos/social.barriers.i.7.mp4"] & ["fischer_videos/social.barriers.i.9.mp4"]	false & true
